Year;Age;Phase;Monthly Savings;Monthly Rent;Monthly Mortgage;Monthly Parent Loan;Monthly Investing;Global ETFs (60%);Emerging Markets (10%);Gold / Commodities (10%);Individual Stocks (15%);Bond ETFs (5%);Annual Invested;Portfolio Growth;Portfolio Balance;FIRE Target (inflation-adj);Progress %
1;36;Renting;4000.00;1400.00;0.00;0.00;2600.00;1560.00;260.00;260.00;390.00;130.00;31200.00;1178.87;0.00;1020000.00;0.0%
2;37;Mortgage + Parent Loan;4000.00;0.00;2258.65;1173.17;568.18;340.91;56.82;56.82;85.23;28.41;6818.17;0.00;6818.17;1040400.00;0.7%
3;38;Mortgage + Parent Loan;4000.00;0.00;2258.65;1173.17;568.18;340.91;56.82;56.82;85.23;28.41;6818.17;477.27;14113.61;1061208.00;1.3%
4;39;Mortgage + Parent Loan;4000.00;0.00;2258.65;1173.17;568.18;340.91;56.82;56.82;85.23;28.41;6818.17;987.95;21919.74;1082432.16;2.0%
5;40;Mortgage + Parent Loan;4000.00;0.00;2258.65;1173.17;568.18;340.91;56.82;56.82;85.23;28.41;6818.17;1534.38;30272.29;1104080.80;2.7%
6;41;Mortgage + Parent Loan;4000.00;0.00;2258.65;1173.17;568.18;340.91;56.82;56.82;85.23;28.41;6818.17;2119.06;39209.52;1126162.42;3.5%
7;42;Mortgage + Parent Loan;4000.00;0.00;2258.65;1173.17;568.18;340.91;56.82;56.82;85.23;28.41;6818.17;2744.67;48772.36;1148685.67;4.2%
8;43;Mortgage + Parent Loan;4000.00;0.00;2258.65;1173.17;568.18;340.91;56.82;56.82;85.23;28.41;6818.17;3414.07;59004.60;1171659.38;5.0%
9;44;Mortgage + Parent Loan;4000.00;0.00;2258.65;1173.17;568.18;340.91;56.82;56.82;85.23;28.41;6818.17;4130.32;69953.09;1195092.57;5.9%
10;45;Mortgage + Parent Loan;4000.00;0.00;2258.65;1173.17;568.18;340.91;56.82;56.82;85.23;28.41;6818.17;4896.72;81667.98;1218994.42;6.7%
11;46;Mortgage + Parent Loan;4000.00;0.00;2258.65;1173.17;568.18;340.91;56.82;56.82;85.23;28.41;6818.17;5716.76;94202.91;1243374.31;7.6%
12;47;Mortgage Only;4000.00;0.00;2258.65;0.00;1741.35;1044.81;174.13;174.13;261.20;87.07;20896.18;6594.20;121693.29;1268241.79;9.6%
13;48;Mortgage Only;4000.00;0.00;2258.65;0.00;1741.35;1044.81;174.13;174.13;261.20;87.07;20896.18;8518.53;151108.01;1293606.63;11.7%
14;49;Mortgage Only;4000.00;0.00;2258.65;0.00;1741.35;1044.81;174.13;174.13;261.20;87.07;20896.18;10577.56;182581.75;1319478.76;13.8%
15;50;Mortgage Only;4000.00;0.00;2258.65;0.00;1741.35;1044.81;174.13;174.13;261.20;87.07;20896.18;12780.72;216258.66;1345868.34;16.1%
16;51;Mortgage Only;4000.00;0.00;2258.65;0.00;1741.35;1044.81;174.13;174.13;261.20;87.07;20896.18;15138.11;252292.95;1372785.71;18.4%
17;52;Mortgage Only;4000.00;0.00;2258.65;0.00;1741.35;1044.81;174.13;174.13;261.20;87.07;20896.18;17660.51;290849.64;1400241.42;20.8%
18;53;Mortgage Only;4000.00;0.00;2258.65;0.00;1741.35;1044.81;174.13;174.13;261.20;87.07;20896.18;20359.47;332105.30;1428246.25;23.3%
19;54;Mortgage Only;4000.00;0.00;2258.65;0.00;1741.35;1044.81;174.13;174.13;261.20;87.07;20896.18;23247.37;376248.86;1456811.17;25.8%
20;55;Mortgage Only;4000.00;0.00;2258.65;0.00;1741.35;1044.81;174.13;174.13;261.20;87.07;20896.18;26337.42;423482.46;1485947.40;28.5%

═══ SUMMARY ═══
FIRE Number (today);1000000.00
Annual Expenses;40000.00
Withdrawal Rate;4.0%
Return Rate Used;7%
Parent Loan Total;140780.13
Parent Loan Monthly;1173.17
Mortgage Monthly;2258.65

═══ INVESTMENT ALLOCATION ═══
Category;Target %;Phase 1 (rent);Phase 2 (mort+loan);Phase 3 (mort only)
Global ETFs;60%;1560.00;340.91;1044.81
Emerging Markets;10%;260.00;56.82;174.13
Gold / Commodities;10%;260.00;56.82;174.13
Individual Stocks;15%;390.00;85.23;261.20
Bond ETFs;5%;130.00;28.41;87.07
TOTAL;100%;2600.00;568.18;1741.35
